model,layer,direction,mult,c,gold_lp,gold_lp_sem
NPO,12,undo,1.0,0.9805765151977539,-0.590203853994608,0.016808462534986947
NPO,12,undo,2.0,1.9611530303955078,-0.6145777215063571,0.017032049407787922
NPO,12,undo,4.0,3.9223060607910156,-0.7641799807548523,0.018611411494278828
NPO,12,epistemic,-4.0,-15.36025631094379,-2.8159073919057844,0.04151110238171262
NPO,12,epistemic,-2.0,-7.680128155471895,-1.117044529914856,0.02298380643201703
NPO,12,epistemic,-1.0,-3.8400640777359474,-0.7065279640257358,0.016783123707756233
NPO,12,epistemic,-0.5,-1.9200320388679737,-0.6176705411076546,0.016469568104057024
NPO,12,epistemic,0.0,0.0,-0.5925776478648186,0.016897058234253918
NPO,12,epistemic,0.5,1.9200320388679737,-0.6415625482052565,0.01770638275330015
NPO,12,epistemic,1.0,3.8400640777359474,-0.807631813287735,0.019788444179721008
NPO,12,epistemic,2.0,7.680128155471895,-1.7819114503264428,0.0365065688433241
NPO,12,epistemic,4.0,15.36025631094379,-5.48502685546875,0.06310391973173299
NPO,12,content,-4.0,-4.656133651733398,-0.8878069028258324,0.019458491404345184
NPO,12,content,-2.0,-2.328066825866699,-0.6666522415727377,0.017275205609770233
NPO,12,content,-1.0,-1.1640334129333496,-0.6143656482547522,0.016969443582177845
NPO,12,content,-0.5,-0.5820167064666748,-0.5998242066055536,0.016914589684886037
NPO,12,content,0.5,0.5820167064666748,-0.5926453596353531,0.016906639128178687
NPO,12,content,1.0,1.1640334129333496,-0.6002470722049474,0.016949203547110984
NPO,12,content,2.0,2.328066825866699,-0.6402008555829525,0.017241141092082374
NPO,12,content,4.0,4.656133651733398,-0.8323671139776707,0.018940597018710644
NPO,12,random,-4.0,-3.9223060607910156,-0.7032089802622795,0.016910665134083576
NPO,12,random,-2.0,-1.9611530303955078,-0.6179619865119457,0.016652499122359162
NPO,12,random,-1.0,-0.9805765151977539,-0.5987891260534525,0.016780673510681594
NPO,12,random,-0.5,-0.49028825759887695,-0.594081381186843,0.016841209887413746
NPO,12,random,0.5,0.49028825759887695,-0.593967365026474,0.016909579909165612
NPO,12,random,1.0,0.9805765151977539,-0.5986147144436836,0.01690596766087478
NPO,12,random,2.0,1.9611530303955078,-0.618028246164322,0.016860279095726828
